driverId,week,hours-logged,miles-logged
10,1,70,3300
10,2,70,3300
10,3,60,2800
10,4,70,3100
10,5,70,3200
10,6,70,3300
10,7,70,3000
10,8,70,3300
10,9,70,3200
10,10,50,2500
10,11,70,2900
10,12,70,3100
10,13,70,3300
10,14,70,3300
10,15,70,3300
10,16,70,3400
10,17,70,3300
10,18,70,3300
10,19,70,3300
10,20,30,1200
10,21,50,2500
10,22,70,3300
10,23,70,3300
10,24,70,3300
10,25,70,3300
10,26,60,2600
10,27,66,2700
10,28,33,1200
10,29,70,3300
10,30,70,3300
10,31,72,3100
10,32,70,3200
10,33,70,3300
10,34,70,3300
10,35,0,0
10,36,19,1000
10,37,65,2700
10,38,70,3300
10,39,70,3300
10,40,70,3100
10,41,70,3300
10,42,70,3100
10,43,70,3300
10,44,70,3300
10,45,65,2700
10,46,57,2300
10,47,74,3400
10,48,76,3400
10,49,68,2800
10,50,72,2900
10,51,5,150
10,52,0,0
11,1,50,3000
11,2,83,4000
11,3,80,4000
11,4,85,4000
11,5,90,4100
11,6,70,3400
11,7,80,4000
11,8,80,4000
11,9,80,4000
11,10,80,4000
11,11,77,3800
11,12,80,4100
11,13,80,4200
11,14,80,4000
11,15,0,0
11,16,0,0
11,17,90,4300
11,18,80,4000
11,19,75,3700
11,20,92,4400
11,21,70,3500
11,22,70,3500
11,23,70,3500
11,24,82,4000
11,25,80,4000
11,26,75,3700
11,27,82,4000
11,28,82,4000
11,29,82,4000
11,30,82,4000
11,31,82,4000
11,32,82,4000
11,33,82,4000
11,34,92,4500
11,35,70,3500
11,36,70,3500
11,37,70,3500
11,38,82,4000
11,39,80,4000
11,40,75,3700
11,41,0,0
11,42,0,0
11,43,0,0
11,44,90,4300
11,45,80,4000
11,46,75,3700
11,47,90,4300
11,48,80,4000
11,49,65,3100
11,50,90,4200
11,51,80,3800
11,52,0,0
12,1,49,2783
12,2,50,2505
12,3,51,2577
12,4,54,2743
12,5,47,2791
12,6,47,2702
12,7,52,2586
12,8,58,2676
12,9,46,2578
12,10,47,2605
12,11,56,2504
12,12,54,2600
12,13,46,2775
12,14,48,2665
12,15,45,2569
12,16,51,2736
12,17,54,2705
12,18,60,2742
12,19,53,2650
12,20,49,2501
12,21,58,2569
12,22,56,2778
12,23,45,2620
12,24,45,2534
12,25,57,2799
12,26,51,2623
12,27,47,2762
12,28,54,2673
12,29,50,2790
12,30,57,2789
12,31,53,2564
12,32,48,2702
12,33,51,2789
12,34,47,2700
12,35,50,2758
12,36,59,2741
12,37,56,2618
12,38,60,2540
12,39,56,2623
12,40,56,2676
12,41,46,2786
12,42,47,2730
12,43,54,2777
12,44,56,2764
12,45,58,2614
12,46,48,2557
12,47,56,2511
12,48,50,2725
12,49,53,2787
12,50,47,2553
12,51,51,2517
12,52,0,0
13,1,49,2643
13,2,56,2553
13,3,60,2539
13,4,55,2553
13,5,45,2762
13,6,53,2699
13,7,46,2519
13,8,60,2719
13,9,56,2760
13,10,51,2731
13,11,57,2671
13,12,47,2604
13,13,58,2510
13,14,51,2649
13,15,56,2559
13,16,59,2604
13,17,47,2613
13,18,49,2585
13,19,58,2749
13,20,50,2756
13,21,57,2596
13,22,54,2517
13,23,48,2554
13,24,47,2576
13,25,58,2528
13,26,60,2765
13,27,54,2689
13,28,51,2739
13,29,51,2698
13,30,47,2739
13,31,51,2546
13,32,54,2647
13,33,60,2504
13,34,48,2536
13,35,51,2602
13,36,47,2651
13,37,53,2545
13,38,48,2665
13,39,55,2670
13,40,60,2524
13,41,48,2612
13,42,60,2712
13,43,60,2583
13,44,47,2773
13,45,57,2589
13,46,51,2512
13,47,57,2607
13,48,57,2576
13,49,53,2604
13,50,59,2702
13,51,51,2687
13,52,10,100
14,1,58,2672
14,2,56,2722
14,3,49,2735
14,4,58,2639
14,5,51,2517
14,6,56,2790
14,7,45,2729
14,8,60,2560
14,9,58,2570
14,10,60,2599
14,11,45,2539
14,12,46,2704
14,13,50,2607
14,14,53,2559
14,15,54,2611
14,16,50,2598
14,17,54,2692
14,18,53,2679
14,19,55,2754
14,20,54,2642
14,21,60,2656
14,22,50,2709
14,23,53,2725
14,24,45,2543
14,25,53,2606
14,26,54,2512
14,27,52,2588
14,28,60,2554
14,29,56,2568
14,30,58,2633
14,31,60,2518
14,32,51,2576
14,33,56,2596
14,34,49,2611
14,35,46,2536
14,36,52,2629
14,37,58,2597
14,38,56,2521
14,39,47,2546
14,40,57,2643
14,41,58,2656
14,42,54,2555
14,43,57,2717
14,44,45,2551
14,45,57,2719
14,46,58,2646
14,47,50,2627
14,48,59,2712
14,49,47,2713
14,50,58,2674
14,51,46,2698
14,52,54,2571
15,1,55,2620
15,2,47,2577
15,3,58,2526
15,4,51,2701
15,5,60,2669
15,6,53,2751
15,7,56,2609
15,8,59,2640
15,9,48,2533
15,10,51,2656
15,11,50,2664
15,12,45,2747
15,13,55,2517
15,14,55,2502
15,15,49,2676
15,16,50,2727
15,17,45,2690
15,18,52,2570
15,19,51,2796
15,20,58,2582
15,21,54,2721
15,22,45,2738
15,23,52,2616
15,24,50,2598
15,25,57,2616
15,26,45,2693
15,27,45,2778
15,28,55,2746
15,29,57,2682
15,30,45,2529
15,31,58,2792
15,32,57,2717
15,33,53,2781
15,34,60,2746
15,35,50,2670
15,36,50,2578
15,37,49,2723
15,38,53,2646
15,39,48,2632
15,40,59,2642
15,41,53,2725
15,42,57,2685
15,43,57,2759
15,44,56,2689
15,45,46,2632
15,46,53,2652
15,47,60,2699
15,48,52,2641
15,49,49,2730
15,50,54,2635
15,51,57,2773
15,52,50,2733
16,1,48,2693
16,2,53,2535
16,3,53,2509
16,4,45,2654
16,5,58,2761
16,6,49,2613
16,7,46,2585
16,8,59,2718
16,9,58,2786
16,10,55,2744
16,11,45,2579
16,12,58,2543
16,13,54,2542
16,14,53,2752
16,15,57,2741
16,16,45,2555
16,17,52,2687
16,18,55,2605
16,19,57,2596
16,20,49,2800
16,21,48,2588
16,22,48,2546
16,23,58,2539
16,24,51,2743
16,25,58,2516
16,26,59,2717
16,27,60,2510
16,28,59,2674
16,29,51,2582
16,30,53,2799
16,31,45,2688
16,32,59,2521
16,33,56,2506
16,34,49,2720
16,35,45,2539
16,36,54,2679
16,37,46,2539
16,38,51,2630
16,39,50,2739
16,40,53,2544
16,41,45,2740
16,42,52,2726
16,43,54,2569
16,44,56,2724
16,45,58,2560
16,46,59,2676
16,47,52,2670
16,48,52,2660
16,49,58,2741
16,50,57,2519
16,51,53,2604
16,52,48,2699
